,,,,,CPX,,,,GS,,,,,
p,|V_B|,|E_B|,k,seed,T,EG,#N,GI,T,EG,#N,GI,#C,#C/R
0.70,6940,10260,130,1,2.1,NA,1,100.0,2.1,NA,1,100.0,0,0
0.70,7062,10443,130,2,2.2,NA,1,100.0,2.2,NA,1,100.0,0,0
0.70,7024,10386,130,3,2.1,NA,1,100.0,2.1,NA,1,100.0,0,0
0.70,6960,10290,130,4,2.1,NA,1,100.0,2.3,NA,1,100.0,0,0
0.70,7080,10470,130,5,2.2,NA,1,100.0,2.2,NA,1,100.0,0,0
0.70,6940,10260,140,1,37.1,NA,491,1.7,4.6,NA,1,100.0,100,100.0
0.70,7062,10443,140,2,29.5,NA,262,2.5,7.4,NA,1,100.0,100,100.0
0.70,7024,10386,140,3,39.6,NA,560,2.5,4.6,NA,1,100.0,100,100.0
0.70,6960,10290,140,4,37.1,NA,402,2.5,4.8,NA,1,100.0,100,100.0
0.70,7080,10470,140,5,33.7,NA,444,2.5,4.5,NA,1,100.0,100,100.0
0.70,6940,10260,150,1,3396.8,<0.1,54559,2.0,5.0,NA,1,100.0,97,97.0
0.70,7062,10443,150,2,3452.5,<0.1,52860,2.0,7.9,NA,1,100.0,97,97.0
0.70,7024,10386,150,3,3428.8,<0.1,58164,2.0,5.1,NA,1,100.0,94,94.0
0.70,6960,10290,150,4,3487.3,<0.1,65240,2.0,5.0,NA,1,100.0,95,95.0
0.70,7080,10470,150,5,3433.0,<0.1,51487,1.4,5.2,NA,1,100.0,98,98.0
0.70,6940,10260,160,1,52.2,NA,761,3.7,14.1,NA,1,100.0,233,10.1
0.70,7062,10443,160,2,7.2,NA,1,100.0,15.4,NA,1,100.0,253,18.1
0.70,7024,10386,160,3,690.6,NA,10401,2.6,11.4,NA,1,100.0,173,15.7
0.70,6960,10290,160,4,12.7,NA,1,100.0,12.4,NA,1,100.0,207,8.0
0.70,7080,10470,160,5,31.0,NA,262,3.9,12.3,NA,1,100.0,189,15.8
0.70,6940,10260,170,1,16.4,NA,12,2.7,17.9,NA,12,2.7,0,0
0.70,7062,10443,170,2,13.9,NA,7,2.8,14.9,NA,7,2.8,0,0
0.70,7024,10386,170,3,16.9,NA,10,2.8,18.2,NA,10,2.8,0,0
0.70,6960,10290,170,4,17.3,NA,21,2.7,18.6,NA,21,2.7,0,0
0.70,7080,10470,170,5,16.5,NA,6,1.9,8.7,NA,1,100.0,1,0.2
0.80,7998,11847,130,1,2.7,NA,1,100.0,2.7,NA,1,100.0,0,0
0.80,7982,11823,130,2,2.8,NA,1,100.0,3.1,NA,1,100.0,0,0
0.80,7924,11736,130,3,2.7,NA,1,100.0,3.0,NA,1,100.0,0,0
0.80,8054,11931,130,4,2.8,NA,1,100.0,3.3,NA,1,100.0,0,0
0.80,8042,11913,130,5,2.8,NA,1,100.0,3.2,NA,1,100.0,0,0
0.80,7998,11847,140,1,19.7,NA,1,100.0,9.0,NA,1,100.0,100,100.0
0.80,7982,11823,140,2,20.2,NA,4,1.9,9.7,NA,1,100.0,100,100.0
0.80,7924,11736,140,3,15.9,NA,4,2.9,5.5,NA,1,100.0,100,100.0
0.80,8054,11931,140,4,20.5,NA,4,1.9,10.2,NA,1,100.0,100,100.0
0.80,8042,11913,140,5,20.3,NA,4,1.9,9.7,NA,1,100.0,100,100.0
0.80,7998,11847,150,1,1172.1,NA,19351,2.3,9.4,NA,1,100.0,100,100.0
0.80,7982,11823,150,2,1342.9,NA,22689,1.5,9.3,NA,1,100.0,100,100.0
0.80,7924,11736,150,3,1922.0,NA,32255,1.5,5.1,NA,1,100.0,100,100.0
0.80,8054,11931,150,4,419.2,NA,6844,2.3,9.3,NA,1,100.0,100,100.0
0.80,8042,11913,150,5,1092.1,NA,16127,1.6,9.2,NA,1,100.0,100,100.0
0.80,7998,11847,160,1,3402.3,<0.1,47796,1.9,8.9,NA,1,100.0,100,100.0
0.80,7982,11823,160,2,3424.7,<0.1,39506,1.3,10.6,NA,1,100.0,95,95.0
0.80,7924,11736,160,3,3421.8,<0.1,40118,1.3,6.3,NA,1,100.0,98,98.0
0.80,8054,11931,160,4,3425.9,<0.1,51163,1.9,10.7,NA,1,100.0,99,99.0
0.80,8042,11913,160,5,3523.7,<0.1,60787,1.9,8.7,NA,1,100.0,100,100.0
0.80,7998,11847,170,1,3529.3,<0.1,62442,3.7,20.7,NA,1,100.0,307,16.2
0.80,7982,11823,170,2,35.7,NA,181,2.4,18.8,NA,11,89.0,123,7.7
0.80,7924,11736,170,3,33.9,NA,246,3.6,13.8,NA,1,100.0,278,10.7
0.80,8054,11931,170,4,43.5,NA,283,3.7,12.7,NA,1,100.0,73,36.5
0.80,8042,11913,170,5,3406.0,<0.1,62308,3.7,21.8,NA,1,100.0,331,15.0
0.90,9082,13473,130,1,3.9,NA,1,100.0,3.9,NA,1,100.0,0,0
0.90,8986,13329,130,2,3.8,NA,1,100.0,3.7,NA,1,100.0,0,0
0.90,9042,13413,130,3,4.3,NA,1,100.0,3.8,NA,1,100.0,0,0
0.90,8978,13317,130,4,4.2,NA,1,100.0,3.9,NA,1,100.0,0,0
0.90,9060,13440,130,5,4.0,NA,1,100.0,4.0,NA,1,100.0,0,0
0.90,9082,13473,140,1,4.8,NA,1,100.0,4.2,NA,1,100.0,0,0
0.90,8986,13329,140,2,4.6,NA,1,100.0,4.0,NA,1,100.0,0,0
0.90,9042,13413,140,3,4.6,NA,1,100.0,4.3,NA,1,100.0,0,0
