,,,,,CL,,,,,,,CL',,,,,,,CL
|V|,p,|E|,k,seed,T,#N,GI,#C,λ=1,λ̄,c̄,T,#N,GI,#C,λ=1,λ̄,c̄,c>k+1
80,0.7,2245,8,1,0.9,1,100.0,342,0,6.39,10.16,0.8,1,100.0,342,0,5.55,8.78,100.0
80,0.7,2196,8,2,1.2,1,100.0,495,0,6.96,10.16,1.3,1,100.0,550,0,5.15,8.10,100.0
80,0.7,2189,8,3,1.2,1,100.0,495,0,7.12,10.18,1.2,1,100.0,605,0,5.33,8.07,100.0
80,0.7,2199,8,4,0.7,1,100.0,220,0,6.36,10.31,0.7,1,100.0,220,0,5.24,8.79,100.0
80,0.7,2219,8,5,0.8,1,100.0,280,0,6.90,10.12,0.9,1,100.0,336,0,5.06,8.00,100.0
80,0.7,2245,10,1,1.4,1,100.0,399,0,8.32,11.99,1.4,1,100.0,513,0,5.36,8.85,99.2
80,0.7,2196,10,2,4.3,1,100.0,1320,0.1,7.09,10.23,5.0,1,100.0,1650,0.2,4.51,7.30,68.0
80,0.7,2189,10,3,1.6,1,100.0,440,0,7.79,11.06,2.2,1,100.0,770,0,5.16,8.15,80.9
80,0.7,2199,10,4,1.2,1,100.0,385,0,7.55,11.32,1.0,1,100.0,330,0,5.34,9.16,87.5
80,0.7,2219,10,5,1.9,1,100.0,616,0,7.21,10.30,1.4,1,100.0,560,0,5.11,8.34,67.2
80,0.7,2245,12,1,4.5,1,100.0,1197,0,4.93,8.12,4.5,1,100.0,1197,0,4.93,8.12,0
80,0.7,2196,12,2,10.5,1,100.0,2695,0.4,3.87,6.46,10.6,1,100.0,2695,0.4,3.87,6.46,0
80,0.7,2189,12,3,5.5,1,100.0,1485,0.2,4.38,7.19,5.9,1,100.0,1540,0.2,4.24,6.95,0.5
80,0.7,2199,12,4,2.9,1,100.0,770,0,4.71,8.27,2.9,1,100.0,770,0,4.71,8.27,0
80,0.7,2219,12,5,2.6,1,100.0,784,0.1,4.62,7.70,2.6,1,100.0,784,0.1,4.62,7.70,0
80,0.8,2530,8,1,1.4,1,100.0,576,0,7.91,11.50,7.8,12,88.7,2500,0,6.44,8.69,100.0
80,0.8,2464,8,2,7.5,6,92.3,2758,0,7.78,10.46,13.3,70,85.6,3331,0,6.46,8.49,91.5
80,0.8,2502,8,3,1.4,1,100.0,693,0,7.84,11.20,2.1,1,100.0,1056,0,6.38,8.43,100.0
80,0.8,2498,8,4,1.3,1,100.0,567,0,7.57,11.18,4.0,1,100.0,1867,0,6.19,8.42,100.0
80,0.8,2538,8,5,6.4,15,87.5,1691,0,7.92,11.15,8.1,34,83.9,1425,0,6.42,8.71,97.5
80,0.8,2530,10,1,30.7,20,91.8,7556,0,8.78,12.02,20.1,76,88.6,5358,0,6.75,9.42,90.7
80,0.8,2464,10,2,21.3,33,91.8,5388,0,8.30,11.24,20.7,52,88.8,5315,0,6.19,8.58,79.0
80,0.8,2502,10,3,18.4,10,91.3,4507,0,8.39,11.27,15.3,18,90.6,4638,0,6.35,8.75,76.8
80,0.8,2498,10,4,8.7,14,94.3,3050,0,8.11,11.40,9.2,10,94.8,3095,0,6.17,8.84,80.2
80,0.8,2538,10,5,29.8,431,81.1,4032,0,8.79,12.04,73.8,3065,79.3,4364,0,6.94,9.61,90.8
80,0.8,2530,12,1,49.1,126,90.5,7114,0,8.37,11.64,136.7,1374,86.6,11240,0,6.75,9.48,55.7
80,0.8,2464,12,2,69.9,517,85.2,7316,0,7.59,10.57,77.4,305,89.5,10577,0,5.85,8.25,44.5
80,0.8,2502,12,3,53.3,136,88.1,7661,<0.1,7.35,9.91,66.6,507,87.1,7602,0,6.24,8.63,30.4
