,,,,,CPX,,,,OC,,,,,,CL,,,,,,GS,,,,,,OCG,,,,,,,
instance,k/|V|,weight,|V|,|E|,T,EG,#N,GI,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C(OC),#C(CL),#C(GS),ST
1,20%,unit,6160,40207,87.2,NA,5320,66.0,23.9,NA,660,80.0,219,<0.1,7.1,NA,1,100.0,10,<0.1,90.0,NA,5320,66.0,0,0,6.7,NA,1,100.0,155,8,0,<0.1
3,20%,unit,60541,48418,12.4,NA,1,100.0,12.1,NA,1,100.0,0,0,19.0,NA,1,100.0,0,0,12.4,NA,1,100.0,0,0,18.9,NA,1,100.0,0,0,0,0
5,20%,unit,200,798,<0.1,NA,1,100.0,<0.1,NA,1,100.0,0,0,<0.1,NA,1,100.0,0,0,<0.1,NA,1,100.0,0,0,<0.1,NA,1,100.0,0,0,0,0
7,20%,unit,8794,10121,1.9,NA,1,100.0,1.6,NA,1,100.0,46,<0.1,1.9,NA,1,100.0,23,0,1.8,NA,1,100.0,0,0,1.8,NA,1,100.0,46,23,0,0
9,20%,unit,38452,174645,3587.0,2.6,1,71.4,3591.8,12.4,1,69.9,12000,<0.1,3582.1,0.2,1,96.3,7402,1.3,3591.7,2.6,1,71.4,0,0,3591.8,0.2,1,96.3,12000,5627,0,0.9
11,20%,unit,9877,25973,3472.9,0.1,168201,75.4,3447.7,0.1,159701,79.0,8869,0.8,9.3,NA,1,100.0,270,0.1,3438.4,0.1,166780,75.4,0,0.4,9.2,NA,1,100.0,4498,260,0,0.2
13,20%,unit,45307,36697,6.8,NA,1,100.0,6.9,NA,1,100.0,0,0,9.5,NA,1,100.0,0,0,6.8,NA,1,100.0,0,0,9.7,NA,1,100.0,0,0,0,0
15,20%,unit,53610,42940,9.1,NA,1,100.0,8.9,NA,1,100.0,0,0,13.0,NA,1,100.0,0,0,9.2,NA,1,100.0,0,0,13.1,NA,1,100.0,0,0,0,0
17,20%,unit,23541,34233,12.7,NA,1,100.0,11.2,NA,1,100.0,699,<0.1,14.6,NA,1,100.0,278,<0.1,12.8,NA,1,100.0,0,0.1,17.0,NA,1,100.0,696,252,0,0.1
19,20%,unit,200,862,<0.1,NA,1,100.0,<0.1,NA,1,100.0,0,0,<0.1,NA,1,100.0,0,0,<0.1,NA,1,100.0,0,0,<0.1,NA,1,100.0,0,0,0,0
21,20%,unit,24765,19655,2.1,NA,1,100.0,2.1,NA,1,100.0,0,0,3.0,NA,1,100.0,0,0,2.0,NA,1,100.0,0,0,3.0,NA,1,100.0,0,0,0,0
23,20%,unit,27717,133665,3590.9,10.3,1,69.4,3590.6,3.4,1,71.2,12000,<0.1,3584.0,0.5,20,93.6,12015,1.5,3577.8,3.6,1,70.3,0,<0.1,3591.6,1.6,1,93.6,12000,4848,0,0.4
